id,tma_mdpl
2025-09-19 06:00:00 - Arjowinangun - Pacitan,1.4
2025-09-19 12:00:00 - Arjowinangun - Pacitan,0.95
2025-09-19 18:00:00 - Arjowinangun - Pacitan,0.9
2025-09-20 06:00:00 - Arjowinangun - Pacitan,1.1
2025-09-20 12:00:00 - Arjowinangun - Pacitan,1.1
2025-09-20 18:00:00 - Arjowinangun - Pacitan,0.7
2025-09-21 06:00:00 - Arjowinangun - Pacitan,1.45
2025-09-21 12:00:00 - Arjowinangun - Pacitan,1.3
2025-09-21 18:00:00 - Arjowinangun - Pacitan,0.85
2025-09-22 06:00:00 - Arjowinangun - Pacitan,0.9
2025-09-22 12:00:00 - Arjowinangun - Pacitan,1.35
2025-09-22 18:00:00 - Arjowinangun - Pacitan,0.8
2025-09-23 06:00:00 - Arjowinangun - Pacitan,0.75
2025-09-23 12:00:00 - Arjowinangun - Pacitan,1.45
2025-09-23 18:00:00 - Arjowinangun - Pacitan,0.8
2025-09-24 06:00:00 - Arjowinangun - Pacitan,0.8
2025-09-24 12:00:00 - Arjowinangun - Pacitan,1.55
2025-09-24 18:00:00 - Arjowinangun - Pacitan,0.85
2025-09-25 06:00:00 - Arjowinangun - Pacitan,0.85
2025-09-25 12:00:00 - Arjowinangun - Pacitan,1.55
2025-09-25 18:00:00 - Arjowinangun - Pacitan,0.85
2025-09-26 06:00:00 - Arjowinangun - Pacitan,0.85
2025-09-26 12:00:00 - Arjowinangun - Pacitan,1.5
2025-09-26 18:00:00 - Arjowinangun - Pacitan,0.85
2025-09-27 06:00:00 - Arjowinangun - Pacitan,0.9
2025-09-27 12:00:00 - Arjowinangun - Pacitan,1.45
2025-09-27 18:00:00 - Arjowinangun - Pacitan,0.85
2025-09-28 06:00:00 - Arjowinangun - Pacitan,0.9
2025-09-28 12:00:00 - Arjowinangun - Pacitan,1.2
2025-09-28 18:00:00 - Arjowinangun - Pacitan,0.8
2025-09-29 06:00:00 - Arjowinangun - Pacitan,0.9
2025-09-29 12:00:00 - Arjowinangun - Pacitan,1.0
2025-09-29 18:00:00 - Arjowinangun - Pacitan,0.8
2025-09-30 06:00:00 - Arjowinangun - Pacitan,1.0
2025-09-30 12:00:00 - Arjowinangun - Pacitan,0.9
2025-09-30 18:00:00 - Arjowinangun - Pacitan,0.8
2025-10-01 06:00:00 - Arjowinangun - Pacitan,0.9
2025-10-01 12:00:00 - Arjowinangun - Pacitan,0.95
2025-10-01 18:00:00 - Arjowinangun - Pacitan,0.85
2025-10-02 06:00:00 - Arjowinangun - Pacitan,1.15
2025-10-02 12:00:00 - Arjowinangun - Pacitan,0.9
2025-10-02 18:00:00 - Arjowinangun - Pacitan,0.9
2025-10-03 06:00:00 - Arjowinangun - Pacitan,1.1
2025-10-03 12:00:00 - Arjowinangun - Pacitan,0.95
2025-10-03 18:00:00 - Arjowinangun - Pacitan,1.2
